webpush;1001;TCP;HTTP Web Push
rdrmshc;1075;TCP;RDRMSHC
rdrmshc;1075;UDP;RDRMSHC
dab-sti-c;1076;TCP;DAB STI-C
dab-sti-c;1076;UDP;DAB STI-C
imgames;1077;TCP;IMGames
imgames;1077;UDP;IMGames
avocent-proxy;1078;TCP;Avocent Proxy Protocol
avocent-proxy;1078;UDP;Avocent Proxy Protocol
asprovatalk;1079;TCP;ASPROVATalk
asprovatalk;1079;UDP;ASPROVATalk
socks;1080;TCP;Socks
socks;1080;UDP;Socks
pvuniwien;1081;TCP;PVUNIWIEN
pvuniwien;1081;UDP;PVUNIWIEN
amt-esd-prot;1082;TCP;AMT-ESD-PROT
amt-esd-prot;1082;UDP;AMT-ESD-PROT
ansoft-lm-1;1083;TCP;Anasoft License Manager
ansoft-lm-1;1083;UDP;Anasoft License Manager
ansoft-lm-2;1084;TCP;Anasoft License Manager
ansoft-lm-2;1084;UDP;Anasoft License Manager
webobjects;1085;TCP;Web Objects
webobjects;1085;UDP;Web Objects
cplscrambler-lg;1086;TCP;CPL Scrambler Logging
cplscrambler-lg;1086;UDP;CPL Scrambler Logging
cplscrambler-in;1087;TCP;CPL Scrambler Internal
cplscrambler-in;1087;UDP;CPL Scrambler Internal
cplscrambler-al;1088;TCP;CPL Scrambler Alarm Log
cplscrambler-al;1088;UDP;CPL Scrambler Alarm Log
ff-annunc;1089;TCP;FF Annunciation
ff-annunc;1089;UDP;FF Annunciation
ff-fms;1090;TCP;FF Fieldbus Message Specification
ff-fms;1090;UDP;FF Fieldbus Message Specification
ff-sm;1091;TCP;FF System Management
ff-sm;1091;UDP;FF System Management
obrpd;1092;TCP;Open Business Reporting Protocol
obrpd;1092;UDP;Open Business Reporting Protocol
proofd;1093;TCP;PROOFD
proofd;1093;UDP;PROOFD
rootd;1094;TCP;ROOTD
rootd;1094;UDP;ROOTD
nicelink;1095;TCP;NICELink
nicelink;1095;UDP;NICELink
cnrprotocol;1096;TCP;Common Name Resolution Protocol
cnrprotocol;1096;UDP;Common Name Resolution Protocol
sunclustermgr;1097;TCP;Sun Cluster Manager
sunclustermgr;1097;UDP;Sun Cluster Manager
rmiactivation;1098;TCP;RMI Activation
rmiactivation;1098;UDP;RMI Activation
rmiregistry;1099;TCP;RMI Registry
rmiregistry;1099;UDP;RMI Registry
mctp;1100;TCP;MCTP
mctp;1100;UDP;MCTP
pt2-discover;1101;TCP;PT2-DISCOVER
pt2-discover;1101;UDP;PT2-DISCOVER
adobeserver-1;1102;TCP;ADOBE SERVER 1
adobeserver-1;1102;UDP;ADOBE SERVER 1
adobeserver-2;1103;TCP;ADOBE SERVER 2
adobeserver-2;1103;UDP;ADOBE SERVER 2
xrl;1104;TCP;XRL
xrl;1104;UDP;XRL
ftranhc;1105;TCP;FTRANHC
ftranhc;1105;UDP;FTRANHC
isoipsigport-1;1106;TCP;ISOIPSIGPORT-1
isoipsigport-1;1106;UDP;ISOIPSIGPORT-1
isoipsigport-2;1107;TCP;ISOIPSIGPORT-2
isoipsigport-2;1107;UDP;ISOIPSIGPORT-2
ratio-adp;1108;TCP;ratio-adp
ratio-adp;1108;UDP;ratio-adp
Unassigned;1109;UDP;Reserved - IANA
webadmstart;1110;TCP;Start web admin server
nfsd-keepalive;1110;UDP;Client status info
lmsocialserver;1111;TCP;LM Social Server
lmsocialserver;1111;UDP;LM Social Server
icp;1112;TCP;Intelligent Communication Protocol
icp;1112;UDP;Intelligent Communication Protocol
ltp-deepspace;1113;UDP;Licklider Transmission Protocol
ltp-deepspace;1113;TCP;Licklider Transmission Protocol
ltp-deepspace;1113;UDP;Licklider Transmission Protocol
mini-sql;1114;TCP;Mini SQL
mini-sql;1114;UDP;Mini SQL
ardus-trns;1115;TCP;ARDUS Transfer
ardus-trns;1115;UDP;ARDUS Transfer
ardus-cntl;1116;TCP;ARDUS Control
ardus-cntl;1116;UDP;ARDUS Control
ardus-mtrns;1117;TCP;ARDUS Multicast Transfer
ardus-mtrns;1117;UDP;ARDUS Multicast Transfer
sacred;1118;TCP;SACRED
sacred;1118;UDP;SACRED
bnetgame;1119;TCP;Battle.net Chat/Game Protocol
bnetgame;1119;UDP;Battle.net Chat/Game Protocol
bnetfile;1120;TCP;Battle.net File Transfer Protocol
bnetfile;1120;UDP;Battle.net File Transfer Protocol
rmpp;1121;TCP;Datalode RMPP
rmpp;1121;UDP;Datalode RMPP
availant-mgr;1122;TCP;availant-mgr
availant-mgr;1122;UDP;availant-mgr
murray;1123;TCP;Murray
murray;1123;UDP;Murray
hpvmmcontrol;1124;TCP;HP VMM Control
hpvmmcontrol;1124;UDP;HP VMM Control
hpvmmagent;1125;TCP;HP VMM Agent
hpvmmagent;1125;UDP;HP VMM Agent
hpvmmdata;1126;TCP;HP VMM Agent
hpvmmdata;1126;UDP;HP VMM Agent
kwdb-commn;1127;TCP;KWDB Remote Communication
kwdb-commn;1127;UDP;KWDB Remote Communication
saphostctrl;1128;TCP;SAPHostControl over SOAP/HTTP
saphostctrl;1128;UDP;SAPHostControl over SOAP/HTTP
saphostctrls;1129;TCP;SAPHostControl over SOAP/HTTPS
saphostctrls;1129;UDP;SAPHostControl over SOAP/HTTPS
casp;1130;TCP;CAC App Service Protocol
casp;1130;UDP;CAC App Service Protocol
caspssl;1131;TCP;CAC App Service Protocol Encripted
caspssl;1131;UDP;CAC App Service Protocol Encripted
kvm-via-ip;1132;TCP;KVM-via-IP Management Service
kvm-via-ip;1132;UDP;KVM-via-IP Management Service
dfn;1133;TCP;Data Flow Network
dfn;1133;UDP;Data Flow Network
aplx;1134;TCP;MicroAPL APLX
aplx;1134;UDP;MicroAPL APLX
omnivision;1135;TCP;OmniVision Communication Service
omnivision;1135;UDP;OmniVision Communication Service
hhb-gateway;1136;TCP;HHB Gateway Control
hhb-gateway;1136;UDP;HHB Gateway Control
trim;1137;TCP;TRIM Workgroup Service
trim;1137;UDP;TRIM Workgroup Service
encrypted-admin;1138;TCP;encrypted admin requests
encrypted_admin;1138;TCP;encrypted admin requests
encrypted-admin;1138;UDP;encrypted admin requests
encrypted_admin;1138;UDP;encrypted admin requests
evm;1139;TCP;Enterprise Virtual Manager
evm;1139;UDP;Enterprise Virtual Manager
autonoc;1140;TCP;AutoNOC Network Operations Protocol
autonoc;1140;UDP;AutoNOC Network Operations Protocol
mxomss;1141;TCP;User Message Service
mxomss;1141;UDP;User Message Service
edtools;1142;TCP;User Discovery Service
edtools;1142;UDP;User Discovery Service
imyx;1143;TCP;Infomatryx Exchange
imyx;1143;UDP;Infomatryx Exchange
fuscript;1144;TCP;Fusion Script
fuscript;1144;UDP;Fusion Script
x9-icue;1145;TCP;X9 iCue Show Control
x9-icue;1145;UDP;X9 iCue Show Control
audit-transfer;1146;TCP;audit transfer
audit-transfer;1146;UDP;audit transfer
capioverlan;1147;TCP;CAPIoverLAN
capioverlan;1147;UDP;CAPIoverLAN
elfiq-repl;1148;TCP;Elfiq Replication Service
elfiq-repl;1148;UDP;Elfiq Replication Service
bvtsonar;1149;TCP;BlueView Sonar Service
bvtsonar;1149;UDP;BlueView Sonar Service
blaze;1150;TCP;Blaze File Server
blaze;1150;UDP;Blaze File Server
unizensus;1151;TCP;Unizensus Login Server
unizensus;1151;UDP;Unizensus Login Server
winpoplanmess;1152;TCP;Winpopup LAN Messenger
winpoplanmess;1152;UDP;Winpopup LAN Messenger
c1222-acse;1153;TCP;ANSI C12.22 Port
c1222-acse;1153;UDP;ANSI C12.22 Port
resacommunity;1154;TCP;Community Service
resacommunity;1154;UDP;Community Service
nfa;1155;TCP;Network File Access
nfa;1155;UDP;Network File Access
iascontrol-oms;1156;TCP;iasControl OMS
iascontrol-oms;1156;UDP;iasControl OMS
iascontrol;1157;TCP;Oracle iASControl
iascontrol;1157;UDP;Oracle iASControl
dbcontrol-oms;1158;TCP;dbControl OMS
dbcontrol-oms;1158;UDP;dbControl OMS
oracle-oms;1159;TCP;Oracle OMS
oracle-oms;1159;UDP;Oracle OMS
olsv;1160;TCP;DB Lite Mult-User Server
olsv;1160;UDP;DB Lite Mult-User Server
health-polling;1161;TCP;Health Polling
health-polling;1161;UDP;Health Polling
health-trap;1162;TCP;Health Trap
health-trap;1162;UDP;Health Trap
sddp;1163;TCP;SmartDialer Data Protocol
sddp;1163;UDP;SmartDialer Data Protocol
qsm-proxy;1164;TCP;QSM Proxy Service
qsm-proxy;1164;UDP;QSM Proxy Service
qsm-gui;1165;TCP;QSM GUI Service
qsm-gui;1165;UDP;QSM GUI Service
qsm-remote;1166;TCP;QSM RemoteExec
qsm-remote;1166;UDP;QSM RemoteExec
cisco-ipsla;1167;UDP;Cisco IP SLAs Control Protocol
cisco-ipsla;1167;TCP;Cisco IP SLAs Control Protocol
cisco-ipsla;1167;UDP;Cisco IP SLAs Control Protocol
vchat;1168;TCP;VChat Conference Service
vchat;1168;UDP;VChat Conference Service
tripwire;1169;TCP;TRIPWIRE
tripwire;1169;UDP;TRIPWIRE
atc-lm;1170;TCP;AT+C License Manager
atc-lm;1170;UDP;AT+C License Manager
atc-appserver;1171;TCP;AT+C FmiApplicationServer
atc-appserver;1171;UDP;AT+C FmiApplicationServer
dnap;1172;TCP;DNA Protocol
dnap;1172;UDP;DNA Protocol
d-cinema-rrp;1173;TCP;D-Cinema Request-Response
d-cinema-rrp;1173;UDP;D-Cinema Request-Response
fnet-remote-ui;1174;TCP;FlashNet Remote Admin
fnet-remote-ui;1174;UDP;FlashNet Remote Admin
dossier;1175;TCP;Dossier Server
dossier;1175;UDP;Dossier Server
indigo-server;1176;TCP;Indigo Home Server
indigo-server;1176;UDP;Indigo Home Server
dkmessenger;1177;TCP;DKMessenger Protocol
dkmessenger;1177;UDP;DKMessenger Protocol
sgi-storman;1178;TCP;SGI Storage Manager
sgi-storman;1178;UDP;SGI Storage Manager
b2n;1179;TCP;Backup To Neighbor
b2n;1179;UDP;Backup To Neighbor
mc-client;1180;TCP;Millicent Client Proxy
mc-client;1180;UDP;Millicent Client Proxy
3comnetman;1181;TCP;3Com Net Management
3comnetman;1181;UDP;3Com Net Management
accelenet;1182;TCP;AcceleNet Control
accelenet-data;1182;UDP;AcceleNet Data
llsurfup-http;1183;TCP;LL Surfup HTTP
llsurfup-http;1183;UDP;LL Surfup HTTP
llsurfup-https;1184;TCP;LL Surfup HTTPS
llsurfup-https;1184;UDP;LL Surfup HTTPS
catchpole;1185;TCP;Catchpole port
catchpole;1185;UDP;Catchpole port
mysql-cluster;1186;TCP;MySQL Cluster Manager
mysql-cluster;1186;UDP;MySQL Cluster Manager
alias;1187;TCP;Alias Service
alias;1187;UDP;Alias Service
hp-webadmin;1188;TCP;HP Web Admin
hp-webadmin;1188;UDP;HP Web Admin
unet;1189;TCP;Unet Connection
unet;1189;UDP;Unet Connection
commlinx-avl;1190;TCP;CommLinx GPS / AVL System
commlinx-avl;1190;UDP;CommLinx GPS / AVL System
gpfs;1191;TCP;General Parallel File System
gpfs;1191;UDP;General Parallel File System
caids-sensor;1192;TCP;caids sensors channel
caids-sensor;1192;UDP;caids sensors channel
fiveacross;1193;TCP;Five Across Server
fiveacross;1193;UDP;Five Across Server
openvpn;1194;TCP;OpenVPN
openvpn;1194;UDP;OpenVPN
rsf-1;1195;TCP;RSF-1 clustering
rsf-1;1195;UDP;RSF-1 clustering
netmagic;1196;TCP;Network Magic
netmagic;1196;UDP;Network Magic
carrius-rshell;1197;TCP;Carrius Remote Access
carrius-rshell;1197;UDP;Carrius Remote Access
cajo-discovery;1198;TCP;cajo reference discovery
cajo-discovery;1198;UDP;cajo reference discovery
dmidi;1199;TCP;DMIDI
dmidi;1199;UDP;DMIDI
scol;1200;TCP;SCOL
scol;1200;UDP;SCOL
nucleus-sand;1201;TCP;Nucleus Sand Database Server
nucleus-sand;1201;UDP;Nucleus Sand Database Server
caiccipc;1202;TCP;caiccipc
caiccipc;1202;UDP;caiccipc
ssslic-mgr;1203;TCP;License Validation
ssslic-mgr;1203;UDP;License Validation
ssslog-mgr;1204;TCP;Log Request Listener
ssslog-mgr;1204;UDP;Log Request Listener
accord-mgc;1205;TCP;Accord-MGC
accord-mgc;1205;UDP;Accord-MGC
anthony-data;1206;TCP;Anthony Data
anthony-data;1206;UDP;Anthony Data
metasage;1207;TCP;MetaSage
metasage;1207;UDP;MetaSage
seagull-ais;1208;TCP;SEAGULL AIS
seagull-ais;1208;UDP;SEAGULL AIS
ipcd3;1209;TCP;IPCD3
ipcd3;1209;UDP;IPCD3
eoss;1210;TCP;EOSS
eoss;1210;UDP;EOSS
groove-dpp;1211;TCP;Groove DPP
groove-dpp;1211;UDP;Groove DPP
lupa;1212;TCP;lupa
lupa;1212;UDP;lupa
mpc-lifenet;1213;TCP;Medtronic/Physio-Control LIFENET
mpc-lifenet;1213;UDP;Medtronic/Physio-Control LIFENET
kazaa;1214;TCP;KAZAA
kazaa;1214;UDP;KAZAA
scanstat-1;1215;TCP;scanSTAT 1.0
scanstat-1;1215;UDP;scanSTAT 1.0
etebac5;1216;TCP;ETEBAC 5
etebac5;1216;UDP;ETEBAC 5
hpss-ndapi;1217;TCP;HPSS NonDCE Gateway
hpss-ndapi;1217;UDP;HPSS NonDCE Gateway
aeroflight-ads;1218;TCP;AeroFlight-ADs
aeroflight-ads;1218;UDP;AeroFlight-ADs
aeroflight-ret;1219;TCP;AeroFlight-Ret
aeroflight-ret;1219;UDP;AeroFlight-Ret
qt-serveradmin;1220;TCP;QT SERVER ADMIN
qt-serveradmin;1220;UDP;QT SERVER ADMIN
sweetware-apps;1221;TCP;SweetWARE Apps
sweetware-apps;1221;UDP;SweetWARE Apps
nerv;1222;TCP;SNI R&D network
nerv;1222;UDP;SNI R&D network
tgp;1223;TCP;TrulyGlobal Protocol
tgp;1223;UDP;TrulyGlobal Protocol
vpnz;1224;TCP;VPNz
vpnz;1224;UDP;VPNz
slinkysearch;1225;TCP;SLINKYSEARCH
slinkysearch;1225;UDP;SLINKYSEARCH
stgxfws;1226;TCP;STGXFWS
stgxfws;1226;UDP;STGXFWS
dns2go;1227;TCP;DNS2Go
dns2go;1227;UDP;DNS2Go
florence;1228;TCP;FLORENCE
florence;1228;UDP;FLORENCE
zented;1229;TCP;ZENworks Tiered Electronic Distribution
zented;1229;UDP;ZENworks Tiered Electronic Distribution
periscope;1230;TCP;Periscope
periscope;1230;UDP;Periscope
menandmice-lpm;1231;TCP;menandmice-lpm
menandmice-lpm;1231;UDP;menandmice-lpm
first-defense;1232;TCP;Remote systems monitoring
first-defense;1232;UDP;Remote systems monitoring
univ-appserver;1233;TCP;Universal App Server
univ-appserver;1233;UDP;Universal App Server
search-agent;1234;TCP;Infoseek Search Agent
search-agent;1234;UDP;Infoseek Search Agent
mosaicsyssvc1;1235;TCP;mosaicsyssvc1
mosaicsyssvc1;1235;UDP;mosaicsyssvc1
bvcontrol;1236;TCP;bvcontrol
bvcontrol;1236;UDP;bvcontrol
tsdos390;1237;TCP;tsdos390
tsdos390;1237;UDP;tsdos390
hacl-qs;1238;TCP;hacl-qs
hacl-qs;1238;UDP;hacl-qs
nmsd;1239;TCP;NMSD
nmsd;1239;UDP;NMSD
instantia;1240;TCP;Instantia
instantia;1240;UDP;Instantia
nessus;1241;TCP;nessus
nessus;1241;UDP;nessus
nmasoverip;1242;TCP;NMAS over IP
nmasoverip;1242;UDP;NMAS over IP
serialgateway;1243;TCP;SerialGateway
serialgateway;1243;UDP;SerialGateway
isbconference1;1244;TCP;isbconference1
isbconference1;1244;UDP;isbconference1
isbconference2;1245;TCP;isbconference2
isbconference2;1245;UDP;isbconference2
payrouter;1246;TCP;payrouter
payrouter;1246;UDP;payrouter
visionpyramid;1247;TCP;VisionPyramid
visionpyramid;1247;UDP;VisionPyramid
hermes;1248;TCP;hermes
hermes;1248;UDP;hermes
mesavistaco;1249;TCP;Mesa Vista Co
mesavistaco;1249;UDP;Mesa Vista Co
swldy-sias;1250;TCP;swldy-sias
swldy-sias;1250;UDP;swldy-sias
servergraph;1251;TCP;servergraph
servergraph;1251;UDP;servergraph
bspne-pcc;1252;TCP;bspne-pcc
bspne-pcc;1252;UDP;bspne-pcc
q55-pcc;1253;TCP;q55-pcc
q55-pcc;1253;UDP;q55-pcc
de-noc;1254;TCP;de-noc
de-noc;1254;UDP;de-noc
de-cache-query;1255;TCP;de-cache-query
de-cache-query;1255;UDP;de-cache-query
de-server;1256;TCP;de-server
de-server;1256;UDP;de-server
shockwave2;1257;TCP;Shockwave 2
shockwave2;1257;UDP;Shockwave 2
opennl;1258;TCP;Open Network Library
opennl;1258;UDP;Open Network Library
opennl-voice;1259;TCP;Open Network Library Voice
opennl-voice;1259;UDP;Open Network Library Voice
ibm-ssd;1260;TCP;ibm-ssd
ibm-ssd;1260;UDP;ibm-ssd
mpshrsv;1261;TCP;mpshrsv
mpshrsv;1261;UDP;mpshrsv
qnts-orb;1262;TCP;QNTS-ORB
qnts-orb;1262;UDP;QNTS-ORB
dka;1263;TCP;dka
dka;1263;UDP;dka
prat;1264;TCP;PRAT
prat;1264;UDP;PRAT
dssiapi;1265;TCP;DSSIAPI
dssiapi;1265;UDP;DSSIAPI
dellpwrappks;1266;TCP;DELLPWRAPPKS
dellpwrappks;1266;UDP;DELLPWRAPPKS
epc;1267;TCP;eTrust Policy Compliance
epc;1267;UDP;eTrust Policy Compliance
propel-msgsys;1268;TCP;PROPEL-MSGSYS
propel-msgsys;1268;UDP;PROPEL-MSGSYS
watilapp;1269;TCP;WATiLaPP
watilapp;1269;UDP;WATiLaPP
opsmgr;1270;TCP;Microsoft Operations Manager
opsmgr;1270;UDP;Microsoft Operations Manager
excw;1271;TCP;eXcW
excw;1271;UDP;eXcW
cspmlockmgr;1272;TCP;CSPMLockMgr
cspmlockmgr;1272;UDP;CSPMLockMgr
emc-gateway;1273;TCP;EMC-Gateway
emc-gateway;1273;UDP;EMC-Gateway
t1distproc;1274;TCP;t1distproc
t1distproc;1274;UDP;t1distproc
ivcollector;1275;TCP;ivcollector
ivcollector;1275;UDP;ivcollector
Unassigned;1276;TCP;Reserved
Unassigned;1276;UDP;Reserved
miva-mqs;1277;TCP;mqs
miva-mqs;1277;UDP;mqs
dellwebadmin-1;1278;TCP;Dell Web Admin 1
dellwebadmin-1;1278;UDP;Dell Web Admin 1
dellwebadmin-2;1279;TCP;Dell Web Admin 2
dellwebadmin-2;1279;UDP;Dell Web Admin 2
pictrography;1280;TCP;Pictrography
pictrography;1280;UDP;Pictrography
healthd;1281;TCP;healthd
healthd;1281;UDP;healthd
emperion;1282;TCP;Emperion
emperion;1282;UDP;Emperion
productinfo;1283;TCP;Product Information
productinfo;1283;UDP;Product Information
iee-qfx;1284;TCP;IEE-QFX
iee-qfx;1284;UDP;IEE-QFX
neoiface;1285;TCP;neoiface
neoiface;1285;UDP;neoiface
netuitive;1286;TCP;netuitive
netuitive;1286;UDP;netuitive
routematch;1287;TCP;RouteMatch Com
routematch;1287;UDP;RouteMatch Com
navbuddy;1288;TCP;NavBuddy
navbuddy;1288;UDP;NavBuddy
jwalkserver;1289;TCP;JWalkServer
jwalkserver;1289;UDP;JWalkServer
winjaserver;1290;TCP;WinJaServer
winjaserver;1290;UDP;WinJaServer
seagulllms;1291;TCP;SEAGULLLMS
seagulllms;1291;UDP;SEAGULLLMS
dsdn;1292;TCP;dsdn
dsdn;1292;UDP;dsdn
pkt-krb-ipsec;1293;TCP;PKT-KRB-IPSec
pkt-krb-ipsec;1293;UDP;PKT-KRB-IPSec
cmmdriver;1294;TCP;CMMdriver
cmmdriver;1294;UDP;CMMdriver
ehtp;1295;TCP;End-by-Hop Transmission Protocol
ehtp;1295;UDP;End-by-Hop Transmission Protocol
dproxy;1296;TCP;dproxy
dproxy;1296;UDP;dproxy
sdproxy;1297;TCP;sdproxy
sdproxy;1297;UDP;sdproxy
lpcp;1298;TCP;lpcp
lpcp;1298;UDP;lpcp
hp-sci;1299;TCP;hp-sci
hp-sci;1299;UDP;hp-sci
h323hostcallsc;1300;TCP;H.323 Secure Call Control Signalling
h323hostcallsc;1300;UDP;H.323 Secure Call Control Signalling
ci3-software-1;1301;TCP;CI3-Software-1
ci3-software-1;1301;UDP;CI3-Software-1
ci3-software-2;1302;TCP;CI3-Software-2
ci3-software-2;1302;UDP;CI3-Software-2
sftsrv;1303;TCP;sftsrv
sftsrv;1303;UDP;sftsrv
boomerang;1304;TCP;Boomerang
boomerang;1304;UDP;Boomerang
pe-mike;1305;TCP;pe-mike
pe-mike;1305;UDP;pe-mike
re-conn-proto;1306;TCP;RE-Conn-Proto
re-conn-proto;1306;UDP;RE-Conn-Proto
pacmand;1307;TCP;Pacmand
pacmand;1307;UDP;Pacmand
odsi;1308;TCP;Optical Domain Service Interconnect (ODSI)
odsi;1308;UDP;Optical Domain Service Interconnect (ODSI)
jtag-server;1309;TCP;JTAG server
jtag-server;1309;UDP;JTAG server
husky;1310;TCP;Husky
husky;1310;UDP;Husky
rxmon;1311;TCP;RxMon
rxmon;1311;UDP;RxMon
sti-envision;1312;TCP;STI Envision
sti-envision;1312;UDP;STI Envision
bmc-patroldb;1313;TCP;BMC_PATROLDB
bmc_patroldb;1313;TCP;BMC_PATROLDB
bmc-patroldb;1313;UDP;BMC_PATROLDB
bmc_patroldb;1313;UDP;BMC_PATROLDB
pdps;1314;TCP;Photoscript Distributed Printing System
pdps;1314;UDP;Photoscript Distributed Printing System
els;1315;TCP;E.L.S., Event Listener Service
els;1315;UDP;E.L.S., Event Listener Service
exbit-escp;1316;TCP;Exbit-ESCP
exbit-escp;1316;UDP;Exbit-ESCP
vrts-ipcserver;1317;TCP;vrts-ipcserver
vrts-ipcserver;1317;UDP;vrts-ipcserver
krb5gatekeeper;1318;TCP;krb5gatekeeper
krb5gatekeeper;1318;UDP;krb5gatekeeper
amx-icsp;1319;TCP;AMX-ICSP
amx-icsp;1319;UDP;AMX-ICSP
amx-axbnet;1320;TCP;AMX-AXBNET
amx-axbnet;1320;UDP;AMX-AXBNET
pip;1321;TCP;PIP
pip;1321;UDP;PIP
novation;1322;TCP;Novation
novation;1322;UDP;Novation
brcd;1323;TCP;brcd
brcd;1323;UDP;brcd
delta-mcp;1324;TCP;delta-mcp
delta-mcp;1324;UDP;delta-mcp
dx-instrument;1325;TCP;DX-Instrument
dx-instrument;1325;UDP;DX-Instrument
wimsic;1326;TCP;WIMSIC
wimsic;1326;UDP;WIMSIC
ultrex;1327;TCP;Ultrex
ultrex;1327;UDP;Ultrex
ewall;1328;TCP;EWALL
ewall;1328;UDP;EWALL
